2023-04-26 00:52:46,706 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:47,372 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/professors-nan-and-gillen-receive-1-8m-grant-to-study-statistical-methods-for-alzheimers-research, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:47,996 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/uci-in-top-10-on-fortunes-list-of-best-masters-in-data-science-programs, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:48,573 - Worker-0 - INFO - Downloaded https://dgillen.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:49,275 - Worker-0 - INFO - Downloaded https://dgillen.ics.uci.edu/book, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:49,926 - Worker-0 - INFO - Downloaded https://dgillen.ics.uci.edu/classes, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:50,580 - Worker-0 - INFO - Downloaded https://dgillen.ics.uci.edu/publications, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:51,243 - Worker-0 - INFO - Downloaded https://dgillen.ics.uci.edu/current-and-former-lab-members, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:52,009 - Worker-0 - INFO - Downloaded https://dgillen.ics.uci.edu/research, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:52,671 - Worker-0 - INFO - Downloaded https://dgillen.ics.uci.edu/curiculum-vitae, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:53,326 - Worker-0 - INFO - Downloaded https://dgillen.ics.uci.edu/news, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:54,011 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/faculty/bin-nan, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:54,622 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/undergraduates-conduct-biostatistics-research-at-new-summer-institute-at-uci, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:55,261 - Worker-0 - INFO - Downloaded https://mdogucu.ics.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:55,807 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/isi-buds, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:56,444 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/isi-buds/faculty-staff.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:57,071 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/isi-buds/faq.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:57,685 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/isi-buds/apply.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:58,298 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/isi-buds/index.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:58,914 - Worker-0 - INFO - Downloaded https://mdogucu.ics.uci.edu/cv.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:59,441 - Worker-0 - INFO - Downloaded https://mdogucu.ics.uci.edu/workshops.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:52:59,985 - Worker-0 - INFO - Downloaded https://mdogucu.ics.uci.edu/talks.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:00,561 - Worker-0 - INFO - Downloaded https://mdogucu.ics.uci.edu/publications.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:01,116 - Worker-0 - INFO - Downloaded https://mdogucu.ics.uci.edu/teaching.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:01,657 - Worker-0 - INFO - Downloaded https://mdogucu.ics.uci.edu/index.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:02,181 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~babaks, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:02,763 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~babaks/codes.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:03,305 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~babaks/activities.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:03,909 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~babaks/teaching.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:04,471 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:05,068 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home_files/calcium.txt, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:05,582 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home_files/Platelet.txt, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:06,095 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home_files/Protein.txt, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:06,609 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home_files/birthwt.txt, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:07,132 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home_files/AsthmaLOS.txt, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:07,686 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home_files/BodyTemperature.txt, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:08,200 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home_files/snoreData.txt, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:08,727 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home_files/neural.txt, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:09,241 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home_files/saltBP.txt, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:09,753 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~babaks/BWR/Home_files/Survival.txt, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:10,273 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~babaks/file://51EA073C5D8E43FF82CE61E49ACC37E5//file, status <404>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:10,785 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~babaks/publication.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:11,359 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~babaks/research.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:11,914 - Worker-0 - INFO - Downloaded http://hombao.ics.uci.edu/hernando.html, status <601>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:12,425 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~babaks/index.html, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:12,971 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2135, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:13,720 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/about_contact.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:14,272 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/resources/coronavirus, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:14,823 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/about_safety.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:15,379 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/accessibility, status <200>, using cache ('styx.ics.uci.edu', 9004).
